"Table 203.20. Enrollment in public elementary and secondary schools, by region, state, and jurisdiction: Selected years, fall 1990 through fall 2027",,,,,,,,,,,,,,,,,,,,,
"Region, state, and jurisdiction",Actual total enrollment,,,,,,,,,,,,,"Percent change in total enroll-ment, 2010 to 2015",Projected total enrollment,,,,,,"Percent change in total enroll-ment, 2015 to 2027"
,Fall 1990,Fall 2000,Fall 2005,Fall 2006,Fall 2007,Fall 2008,Fall 2009,Fall 2010,Fall 2011,Fall 2012,Fall 2013,Fall 2014,Fall 2015\1\,,Fall 2016,Fall 2017,Fall 2018,Fall 2019,Fall 2020,Fall 2027,
  Iowa ............................,"483,652","495,080","483,482","483,122","485,115","487,559","491,842","495,775","495,870","499,825","502,964","505,311","508,014",2.5,"510,300","512,300","514,400","517,400","520,700","538,400",6.0
  Kansas ...........................,"437,034","470,610","467,525","469,506","468,295","471,060","474,489","483,701","486,108","489,043","496,440","497,275","495,884",2.5,"496,100","495,500","494,700","494,200","494,500","496,500",0.1
  Kentucky .........................,"636,401","665,850","679,878","683,152","666,225","670,030","680,089","673,128","681,987","685,167","677,389","688,640","686,598",2.0,"687,500","687,200","686,600","686,800","688,700","706,500",2.9
  Louisiana .......................,"784,757","743,089","654,526","675,851","681,038","684,873","690,915","696,558","703,390","710,903","711,491","716,800","718,711",3.2,"723,000","724,000","724,000","724,900","726,500","743,000",3.4
  Maine ...........................,"215,149","207,037","195,498","193,986","196,245","192,935","189,225","189,077","188,969","185,739","183,995","182,470","181,613",-3.9,"179,800","178,100","176,700","175,500","174,700","170,700",-6.0
,, , , , , , ,,,,,,,,,,,,,,
  Maryland ........................,"715,176","852,920","860,020","851,640","845,700","843,861","848,412","852,211","854,086","859,638","866,169","874,514","879,601",3.2,"888,100","895,500","901,200","909,000","915,100","933,800",6.2
  Massachusetts ...................,"834,314","975,150","971,909","968,661","962,958","958,910","957,053","955,563","953,369","954,773","955,739","955,844","964,026",0.9,"963,500","960,900","958,000","954,800","952,300","941,600",-2.3
  Michigan .....................,"1,584,431","1,720,626","1,742,282","1,722,656","1,692,739","1,659,921","1,649,082","1,587,067","1,573,537","1,555,370","1,548,841","1,537,922","1,536,231",-3.2,"1,520,100","1,502,500","1,486,000","1,470,200","1,458,500","1,410,600",-8.2
  Minnesota ......................,"756,374","854,340","839,243","840,565","837,578","836,048","837,053","838,037","839,738","845,404","850,973","857,235","864,384",3.1,"873,800","880,100","886,200","892,100","899,200","922,700",6.7
  Mississippi .....................,"502,417","497,871","494,954","495,026","494,122","491,962","492,481","490,526","490,619","493,650","492,586","490,917","487,200",-0.7,"484,100","480,300","475,900","472,400","469,800","455,200",-6.6
,, , , , , , ,,,,,,,,,,,,,,
  Missouri ........................,"816,558","912,744","917,705","920,353","917,188","917,871","917,982","918,710","916,584","917,900","918,288","917,785","919,234",0.1,"918,800","917,300","916,100","916,200","917,700","930,500",1.2
  Montana ........................,"152,974","154,875","145,416","144,418","142,823","141,899","141,807","141,693","142,349","142,908","144,129","144,532","145,319",2.6,"146,600","147,800","149,300","150,700","152,100","160,800",10.6
  Nebraska ........................,"274,081","286,199","286,646","287,580","291,244","292,590","295,368","298,500","301,296","303,505","307,677","312,635","316,014",5.9,"318,700","321,100","323,000","325,200","327,200","339,200",7.3
  Nevada ..........................,"201,316","340,706","412,395","424,766","429,362","433,371","428,947","437,149","439,634","445,707","451,831","459,189","467,527",6.9,"473,600","480,600","487,600","494,000","500,300","534,700",14.4
  New Hampshire ..................,"172,785","208,461","205,767","203,572","200,772","197,934","197,140","194,711","191,900","188,974","186,310","184,670","182,425",-6.3,"180,200","177,900","175,700","173,700","171,900","163,700",-10.3
,, , , , , , ,,,,,,,,,,,,,,
  New Jersey .......................,"1,089,646","1,313,405","1,395,602","1,388,850","1,382,348","1,381,420","1,396,029","1,402,548","1,356,431","1,372,203","1,370,295","1,400,579","1,408,845",0.4,"1,402,800","1,395,200","1,389,200","1,384,500","1,381,400","1,355,000",-3.8
  New Mexico ......................,"301,881","320,306","326,758","328,220","329,040","330,245","334,419","338,122","337,225","338,220","339,244","340,365","335,694",-0.7,"333,700","330,800","328,600","327,300","326,000","316,800",-5.6
  New York ........................,"2,598,337","2,882,188","2,815,581","2,809,649","2,765,435","2,740,592","2,766,052","2,734,955","2,704,718","2,710,703","2,732,770","2,741,185","2,711,626",-0.9,"2,707,500","2,700,100","2,691,000","2,687,100","2,686,500","2,661,700",-1.8
  North Carolina .................,"1,086,871","1,293,638","1,416,436","1,444,481","1,489,492","1,488,645","1,483,397","1,490,605","1,507,864","1,518,465","1,530,857","1,548,895","1,544,934",3.6,"1,556,200","1,561,900","1,565,200","1,569,700","1,577,200","1,640,700",6.2
  North Dakota ....................,"117,825","109,201","98,283","96,670","95,059","94,728","95,073","96,323","97,646","101,111","103,947","106,586","108,644",12.8,"108,600","111,100","113,900","116,700","119,700","138,100",27.1
,, , , , , , ,,,,,,,,,,,,,,
  Ohio .............................,"1,771,089","1,835,049","1,839,683","1,836,722","1,827,184","1,817,163","1,764,297","1,754,191","1,740,030","1,729,916","1,724,111","1,724,810","1,716,585",-2.1,"1,703,500","1,693,300","1,684,300","1,678,300","1,675,200","1,670,900",-2.7
  Oklahoma ........................,"579,087","623,110","634,739","639,391","642,065","645,108","654,802","659,911","666,120","673,483","681,848","688,511","692,878",5.0,"698,500","702,700","706,800","711,500","716,900","753,700",8.8
  Oregon ...........................,"472,394","546,231","552,194","562,574","565,586","575,393","582,839","570,720","568,208","587,564","593,000","601,318","608,825",6.7,"612,400","616,300","621,300","626,900","633,600","669,800",10.0
  Pennsylvania .......................,"1,667,834","1,814,311","1,830,684","1,871,060","1,801,971","1,775,029","1,785,993","1,793,284","1,771,395","1,763,677","1,755,236","1,743,160","1,717,414",-4.2,"1,701,600","1,686,200","1,673,800","1,663,700","1,658,600","1,647,100",-4.1
  Rhode Island .....................,"138,813","157,347","153,422","151,612","147,629","145,342","145,118","143,793","142,854","142,481","142,008","141,959","142,014",-1.2,"141,200","141,400","141,200","140,500","139,800","136,100",-4.1
,, , , , , , ,,,,,,,,,,,,,,
  South Carolina ...................,"622,112","677,411","701,544","708,021","712,317","718,113","723,143","725,838","727,186","735,998","745,657","756,523","763,533",5.2,"772,800","780,400","787,800","795,500","804,500","850,800",11.4
  South Dakota ....................,"129,164","128,603","122,012","121,158","121,606","126,429","123,713","126,128","128,016","130,471","130,890","133,040","134,253",6.4,"135,500","136,700","138,200","139,900","141,700","150,100",11.8
  Tennessee .....................,"824,595","909,161","953,928","978,368","964,259","971,950","972,549","987,422","999,693","993,496","993,556","995,475","1,001,235",1.4,"1,000,500","999,800","999,700","1,001,500","1,005,300","1,043,600",4.2
  Texas ..........................,"3,382,887","4,059,619","4,525,394","4,599,509","4,674,832","4,752,148","4,850,210","4,935,715","5,000,470","5,077,659","5,153,702","5,233,765","5,301,477",7.4,"5,382,600","5,450,200","5,511,900","5,572,900","5,641,500","6,080,000",14.7
  Utah ...........................,"446,652","481,485","508,430","523,386","576,244","559,778","571,586","585,552","598,832","613,279","625,461","635,577","647,870",10.6,"657,600","665,400","672,700","680,000","687,100","729,300",12.6
,, , , , , , ,,,,,,,,,,,,,,
  Vermont .........................,"95,762","102,049","96,638","95,399","94,038","93,625","91,451","96,858","89,908","89,624","88,690","87,311","87,866",-9.3,"86,100","84,900","84,000","83,300","82,700","79,700",-9.3
  Virginia .........................,"998,601","1,144,915","1,213,616","1,220,440","1,230,857","1,235,795","1,245,340","1,251,440","1,257,883","1,265,419","1,273,825","1,280,381","1,283,590",2.6,"1,287,600","1,289,100","1,288,900","1,290,500","1,293,700","1,325,900",3.3
  Washington .......................,"839,709","1,004,770","1,031,985","1,026,774","1,030,247","1,037,018","1,035,347","1,043,788","1,045,453","1,051,694","1,058,936","1,073,638","1,087,030",4.1,"1,100,900","1,114,800","1,129,000","1,144,500","1,162,600","1,270,700",16.9
  West Virginia ....................,"322,389","286,367","280,866","281,939","282,535","282,729","282,662","282,879","282,870","283,044","280,958","280,310","277,452",-1.9,"275,600","272,900","270,300","268,400","266,700","263,400",-5.1
  Wisconsin ......................,"797,621","879,476","875,174","876,700","874,633","873,750","872,436","872,286","871,105","872,436","874,414","871,432","867,800",-0.5,"865,500","862,500","859,400","858,000","857,800","857,300",-1.2
  Wyoming .........................,"98,226","89,940","84,409","85,193","86,422","87,161","88,155","89,009","90,099","91,533","92,732","94,067","94,717",6.4,"95,500","96,300","97,100","98,000","98,900","103,200",8.9
,,,,,,,,,,,,,,,,,,,,,
Jurisdiction,,,,,,,,,,,,,,,,,,,,,
"  Bureau of Indian
     Education .......",---,"46,938","50,938",---,---,"40,927","41,351","41,962",---,---,---,---,---,---,---,---,---,---,---,---,---
"  DoD, education
     activities ......",---,"107,755","90,872","87,522","84,795","84,781",---,---,---,---,---,---,"74,970",---,---,---,---,---,---,---,---
  Other jurisdictions,, , , , , , , , , , , , ,,,,,,,,
    American Samoa ...................,"12,463","15,702","16,438","16,400",---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
    Guam ...........................,"26,391","32,473","30,986",---,---,---,---,"31,618","31,243","31,186","33,414","31,144","30,821",-2.5,---,---,---,---,---,---,---
    Northern Marianas ..,"6,449","10,004","11,718","11,695","11,299","10,913","10,961","11,105","11,011","10,646","10,638",---,---,---,---,---,---,---,---,---,---
    Puerto Rico .....................,"644,734","612,725","563,490","544,138","526,565","503,635","493,393","473,735","452,740","434,609","423,934","410,950","379,818",-19.8,---,---,---,---,---,---,---
    U.S. Virgin Islands ,"21,750","19,459","16,750","16,284","15,903","15,768","15,493","15,495","15,711","15,192","14,953","14,241","13,805",-10.9,---,---,---,---,---,---,---
---Not available.  ,,,,,,,,,,,,,,,,,,,,,
#Rounds to zero.,,,,,,,,,,,,,,,,,,,,,
\1\Includes imputations for prekindergarten enrollment in California and Oregon.,,,,,,,,,,,,,,,,,,,,,
NOTE: DoD = Department of Defense. Detail may not sum to totals because of rounding. Some data have been revised from previously published figures.  ,,,,,,,,,,,,,,,,,,,,,
"SOURCE: U.S. Department of Education, National Center for Education Statistics, Common Core of Data (CCD), ""State Nonfiscal Survey of Public Elementary/Secondary Education,"" 1990-91 through 2015-16; and State Public Elementary and Secondary Enrollment Projection Model, 1980 through 2027. (This table was prepared January 2018.)",,,,,,,,,,,,,,,,,,,,,
